SPDES Permit Number,Facility Name,Ground or Surface,Average Design Hydraulic Flow,Street,City,State,Country,Zip Code,Latitude,Longitude,Location 1
NY0066028,SUFFOLK SD#22/HAUPPAUGE COUNTY CTR STP,Ground,0.20,VETERANS MEMORIAL HWY & OLD WILLETS,HAUPPAUGE,NY,USA,11788,40.82,-73.22,"VETERANS MEMORIAL HWY &amp; OLD WILLETS
HAUPPAUGE, NY 11788
(40.82, -73.22)"
NY0091081,SUFFOLK SEWER DIST #28,Ground,0.14,MORICHES RD/FAIRFIELD DR,SAINT JAMES,NY,USA,11784,40.87,-73.13,"MORICHES RD/FAIRFIELD DR
SAINT JAMES, NY 11784
(40.87, -73.13)"
NY0023311,SUFFOLK SEWER DIST #6/KINGS PARK,Surface,0.60,86 MARINER DR,KINGS PARK,NY,USA,11754,40.89,-73.22,"86 MARINER DR
KINGS PARK, NY 11754
(40.89, -73.22)"
NY0080667,SUFFOLK SEWER DISTR #23 STP,Ground,0.07,WOODVILLE RD & SHORT ST,MIDDLE ISLAND,NY,USA,11953,40.89,-72.92,"WOODVILLE RD &amp; SHORT ST
MIDDLE ISLAND, NY 11953
(40.89, -72.92)"
NY0079324,SUFFOLK SEWER DISTRICT #11 STP,Ground,2.40,969 OLD TOWN RD,CORAM,NY,USA,11727,40.88,-73.02,"969 OLD TOWN RD
CORAM, NY 11727
(40.88, -73.02)"
NY0206644,SUFFOLK SEWER DISTRICT #21/SUNY STONY BROOK SD,Surface,2.80,CIRCLE RD (LOOP RD),STONY BROOK,NY,USA,11794,40.92,-73.12,"CIRCLE RD (LOOP RD)
STONY BROOK, NY 11794
(40.92, -73.12)"
NY0021750,SUFFOLK STP #1/PORT JEFFERSON SEWER DIST,Surface,1.15,BEACH ST,PORT JEFFERSON,NY,USA,11777,40.94,-73.07,"BEACH ST
PORT JEFFERSON, NY 11777
(40.94, -73.07)"
NY0226688,SUFFOLK STP #20-E/WM FLOYD SEWER DISTR,Ground,0.08,WILLIAM FLOYD PKWY - W SIDE - N OF WHISKEY RD,RIDGE,NY,USA,11961,40.91,-72.88,"WILLIAM FLOYD PKWY - W SIDE - N OF WHISKEY RD
RIDGE, NY 11961
(40.91, -72.88)"
NY0080683,SUFFOLK STP #7/TWELVE PINES-MEDFORD SD,Ground,0.83,WOODSIDE AVE,MEDFORD,NY,USA,11768,40.79,-72.96,"WOODSIDE AVE
MEDFORD, NY 11768
(40.79, -72.96)"
NY0076988,SUFFOLK STP #7-W/WOODSIDE-MEDFORD SD,Ground,0.40,HARRISON AVE PATCHOGUE RD,BELPORT,NY,USA,11713,40.79,-72.95,"HARRISON AVE PATCHOGUE RD
BELPORT, NY 11713
(40.79, -72.95)"
NY0079391,SUFFOLK STP #8/STRATHMORE RIDGE SD,Surface,,SMITH RD,RIDGE,NY,USA,11961,40.88,-72.90,"SMITH RD
RIDGE, NY 11961
(40.88, -72.90)"
NY0065447,SUFFOLK STP #9/COLLEGE PARK SEWER DISTR,Ground,0.05,ROBERTA AVE,SELDEN,NY,USA,11788,40.85,-73.04,"ROBERTA AVE
SELDEN, NY 11788
(40.85, -73.04)"
NY0070033,SUFFOLK STRATHMORE HUNTINGTON SD#5 STP,Ground,0.24,TRUXTON RD,DIX HILLS,NY,USA,11746,40.78,-73.35,"TRUXTON RD
DIX HILLS, NY 11746
(40.78, -73.35)"
NY0030252,SWAN LAKE SD STP,Surface,0.43,SWAN LAKE RD - S OF TOWN LINE,LIBERTY,NY,USA,12754,41.74,-74.78,"SWAN LAKE RD - S OF TOWN LINE
LIBERTY, NY 12754
(41.74, -74.78)"
NY0257001,TABERG SEWER DISTRICT WASTEWATER TREATMENT FACILITY,Surface,0.03,5017 CHURCH ST,TABERG,NY,USA,13471,43.30,-75.61,"5017 CHURCH ST
TABERG, NY 13471
(43.30, -75.61)"
NY0026239,TALLMAN ISLAND WASTEWATER TREATMENT PLANT,Surface,80.00,127-01 POWELLS COVE BLVD,COLLEGE POINT,NY,USA,11356,40.79,-73.83,"127-01 POWELLS COVE BLVD
COLLEGE POINT, NY 11356
(40.79, -73.83)"
NY0026573,TANNERSVILLE - V STP,Surface,0.80,ALLEN RD,TANNERSVILLE,NY,USA,12485,42.18,-74.15,"ALLEN RD
TANNERSVILLE, NY 12485
(42.18, -74.15)"
